Change history report
"April 20, 2024 - April 20, 2026"
Date & time,User,Campaign,Ad group,Changes
  Description is ""Protección balística profesional. Paneles extraíbles y malla interna transpirable.""
  Square marketing image is ""335131566215""
  Headline is ""Chaleco Blindado Miguel Caballero""
  Description is ""Chaleco Nivel IIIA certificado NIJ. Discreto, ligero y termorregulador para uso diario.""
  Description is ""Chaleco blindado Miguel Caballero Nivel IIIA""
  Headline is ""Chaleco Miguel Caballero""
  Portrait marketing image is ""335219701003""
  Square marketing image is ""335219700985""
  Square marketing image is ""335217568855""
  Square marketing image is ""335129535575""
  Final URL is ""https://risktactical.mx/products/chaleco-blindado-miguel-caballero""
  Business name is ""Risk Tactical""
  Call to action text is ""Compre ahora"""
"Feb 25, 2026, 6:35:52 PM",ponces.efrain@gmail.com,,,"Budget created
  Budget delivery method set to ""standard: show ads evenly over time""
  End date is ""No end date""
  Budget status is active
  Unit type is Currency
  Miguel Caballero Demand Gen: Budget amount is MX$250.00
  Budget ""Miguem Caballero Demande Gen"" created"
"Feb 25, 2026, 6:27:50 PM",ponces.efrain@gmail.com,,,"Custom column was updated
  Name changed from ""Purchase"" to ""Purchases"""
"Feb 25, 2026, 6:27:39 PM",ponces.efrain@gmail.com,,,"Custom column ""Purchase"" was created
  "
"Feb 25, 2026, 6:05:48 PM",ponces.efrain@gmail.com,PMAX Winners,,"Campaign changed
  Target ROAS changed from 424% to 450%"
"Feb 25, 2026, 6:05:24 PM",ponces.efrain@gmail.com,PMAX Champions,,"Campaign changed
  Target ROAS changed from 600% to 550%"
"Feb 24, 2026, 10:29:45 PM",Recommendations Auto-Apply,Ubicaciones,,"""Ubicaciones ROAS"": Target ROAS changed from 4 to 3.2
  "
"Feb 18, 2026, 9:53:11 PM",Recommendations Auto-Apply,PMAX Winners,,"Campaign changed
  Target ROAS changed from 530% to 424%"
"Jan 29, 2026, 12:54:41 PM",ponces.efrain@gmail.com,Ubicaciones,,"1 budget amount increased
  Ubicaciones: Budget amount changed from MX$200.00 to MX$310.00"
"Jan 29, 2026, 12:54:29 PM",ponces.efrain@gmail.com,Search,,"1 budget amount increased
  Search: Budget amount changed from MX$600.00 to MX$1,200.00"
"Jan 26, 2026, 6:57:18 PM",ponces.efrain@gmail.com,Ubicaciones,,"1 budget amount increased
  Ubicaciones: Budget amount changed from MX$100.00 to MX$200.00"
"Jan 26, 2026, 6:57:06 PM",ponces.efrain@gmail.com,Ubicaciones,,"""Ubicaciones ROAS"": Target ROAS changed from 5 to 4
  "
"Jan 26, 2026, 6:56:29 PM",ponces.efrain@gmail.com,Search,,"""Search ROAS"": Target ROAS changed from 4 to 5
  "
"Jan 26, 2026, 6:52:34 PM",ponces.efrain@gmail.com,PMAX Tiendas,,"1 campaign paused
  Status changed from active to paused"
"Jan 26, 2026, 6:48:46 PM",ponces.efrain@gmail.com,PMAX Champions,,"Campaign changed
  Target ROAS changed from 700% to 600%"
"Jan 26, 2026, 6:44:00 PM",ponces.efrain@gmail.com,PMAX Winners,,"1 budget amount increased
  PMAX Winners: Budget amount changed from MX$120.00 to MX$310.00"
"Jan 20, 2026, 10:29:21 AM",ponces.efrain@gmail.com,Search,,"1 budget amount increased
  Search: Budget amount changed from MX$430.00 to MX$600.00"
"Jan 6, 2026, 10:42:47 PM",Recommendations Auto-Apply,Search,5.11,"1 broad match keyword removed
  5.11 mexico tienda"
"Dec 30, 2025, 10:05:12 PM",Recommendations Auto-Apply,PMAX Tiendas,,"Campaign changed
  Campaign bid strategy type changed from ""Maximize conversions"" to ""Maximize conversion value""
  Target ROAS is 316.792%"
"Dec 30, 2025, 10:05:11 PM",Recommendations Auto-Apply,Search,Pantalones 5.11,"1 broad match keyword removed
  pantalones 5.11"
"Dec 30, 2025, 10:05:11 PM",Recommendations Auto-Apply,Search,Playeras 5.11,"1 broad match keyword removed
  playera 5.11"
"Dec 30, 2025, 2:34:36 PM",ponces.efrain@gmail.com,Search,Botas 5.11,"1 responsive search ad changed
  Headline was ""Resistencia y Comodidad""
  Headline is ""5.11: El Mejor Equipo Táctico""
  Headline is ""5.11 Tactical Gear In Mexico""
  Headline is ""Ropa Táctica 5.11""
  Headline is ""5.11 Tactical México""
  Headline is ""Equípate Con 5.11 Tactical""
  Headline is ""5.11 Tactical For Any Mission""
  Headline is ""5.11: Equipa tu día""
  Final URL is ""https://risktactical.mx/collections/calzado-hombre-5-11""
  Path 1 is ""511-tactical""
  Path 2 is ""botas"""
"Dec 30, 2025, 1:28:53 PM",ponces.efrain@gmail.com,Search,Pantalones 5.11,"1 responsive search ad changed
  Headline changed from ""Pants 5.11"" to ""Pants 5.11""
  Headline changed from ""5.11 México"" to ""5.11 México""
  Headline changed from ""Pantalones 5.11 tactical"" to ""Pantalones 5.11 tactical""
  Headline was ""Pantalones Tácticos 5.11 para Hombre""
  Headline was ""Comodidad y Estilo""
  Headline changed from ""5.11 Tactical"" to ""5.11 Tactical""
  Headline changed from ""pantalon 5.11 hombre"" to ""pantalon 5.11 hombre""
  Headline changed from ""Tienda Oficial 5.11"" to ""Tienda Oficial 5.11""
  Headline changed from ""5.11 Oficial México"" to ""5.11 Oficial México""
  Headline changed from ""Pantalones 5.11"" to ""Pantalones 5.11""
  Headline changed from ""Pantalones 5.11 México"" to ""Pantalones 5.11 México""
  Headline is ""5.11: Equipa tu día""
  Headline is ""5.11 Tactical Gear In Mexico""
  Headline is ""Pantalones Tácticos 5.11""
  Headline is ""Ropa 5.11 tactical""
  Headline is ""Ropa Táctica 5.11""
  Headline is ""5.11 Tactical For Any Mission""
  Final URL is ""https://risktactical.mx/collections/pantalones-hombre-5-11""
  Path 1 is ""511-tactical""
  Path 2 is ""pantalones"""
"Dec 30, 2025, 1:25:44 PM",ponces.efrain@gmail.com,Search,Ropa 5.11,"1 responsive search ad changed
  Headline changed from ""Ropa 5.11 hombre"" to ""Ropa 5.11 hombre""
  Description was ""Ofrecemos envíos seguros a todo el país y garantía directa""
  Headline changed from ""Productos 5.11 En Descuento"" to ""Productos 5.11 En Descuento""
  Headline changed from ""5.11 Oficial México"" to ""5.11 Oficial México""
  Headline changed from ""5.11 México"" to ""5.11 México""
  Headline changed from ""Ropa 5.11 México"" to ""Ropa 5.11 México""
  Headline changed from ""Ropa 5.11"" to ""Ropa 5.11""
  Description was ""5.11 México | Distribuidor Autorizado: Ropa, Accesorios y Protección Balística""
  Headline changed from ""Tienda Oficial 5.11"" to ""Tienda Oficial 5.11""
  Headline changed from ""5.11 Tactical"" to ""5.11 Tactical""
  Headline changed from ""Ropa 5.11 tactical"" to ""Ropa 5.11 tactical""
  Headline changed from ""5.11 Tactical México"" to ""5.11 Tactical México""
  Headline changed from ""5.11 clothing"" to ""5.11 clothing""
  Headline is ""5.11 tienda en línea""
  Headline is ""5.11: El Mejor Equipo Táctico""
  Headline is ""5.11 Original México""
  Final URL is ""https://www.risktactical.mx""
  Path 1 is ""511-tactical""
  Path 2 is ""ropa"""
"Dec 30, 2025, 1:24:30 PM",ponces.efrain@gmail.com,Search,Uniformes 5.11,"1 responsive search ad changed
  Headline changed from ""5.11 Tactical México"" to ""5.11 Tactical México""
  Headline changed from ""5.11 México"" to ""5.11 México""
  Description was ""Ofrecemos envíos seguros a todo el país y garantía directa""
  Headline changed from ""5.11 Tactical"" to ""5.11 Tactical""
  Description was ""5.11 México | Distribuidor Autorizado: Ropa, Accesorios y Protección Balística""
  Headline changed from ""Uniformes 5.11 México"" to ""Uniformes 5.11 México""
  Headline changed from ""Uniformes 5.11"" to ""Uniformes 5.11""
  Headline changed from ""Tienda Oficial 5.11"" to ""Tienda Oficial 5.11""
  Headline changed from ""5.11 Oficial México"" to ""5.11 Oficial México""
  Headline changed from ""Productos 5.11 En Descuento"" to ""Productos 5.11 En Descuento""
  Headline changed from ""Uniformes 5.11 tactical"" to ""Uniformes 5.11 tactical""
  Headline is ""5.11 Tactical Mexico""
  Headline is ""5.11: El Mejor Equipo Táctico""
  Headline is ""5.11 Original México""
  Headline is ""Uniformes Militares 5.11""
  Headline is ""5.11 tienda en línea""
  Headline is ""5.11 Tactical For Any Mission""
  Final URL is ""https://www.risktactical.mx""
  Path 1 is ""511-tactical"""
"Dec 30, 2025, 1:22:59 PM",ponces.efrain@gmail.com,Search,5.11,"1 responsive search ad changed
  Headline is ""5.11 Tactical For Any Mission""
  Headline is ""5.11 Tactical Mexico""
  Headline is ""5.11 tienda en línea""
  Final URL is ""https://www.risktactical.mx""
  Path 1 is ""511-tactical"""
"Dec 30, 2025, 1:21:28 PM",ponces.efrain@gmail.com,Search,Risk,"1 responsive search ad changed
  Headline changed from ""5.11 México"" to ""5.11 México""
  Headline changed from ""5.11 Oficial México"" to ""5.11 Oficial México""
  Headline changed from ""5.11 Tactical"" to ""5.11 Tactical""
  Headline changed from ""Risk Top Tactical"" to ""Risk Top Tactical""
  Headline changed from ""Tienda Oficial 5.11"" to ""Tienda Oficial 5.11""
  Headline is ""5.11 Tactical Gear In Mexico""
  Headline is ""5.11 Tactical For Any Mission""
  Headline is ""5.11 Original México""
  Headline is ""Mochilas 5.11 México""
  Headline is ""Productos 5.11 En Descuento""
  Headline is ""5.11 Tactical Mexico""
  Headline is ""Official 5.11 Mexico Store""
  Headline is ""Risktactical""
  Headline is ""Ropa y Accesorios Tácticos""
  Headline is ""5.11 Tactical México""
  Final URL is ""https://www.risktactical.mx""
  Path 1 is ""risk"""
"Dec 30, 2025, 1:19:06 PM",ponces.efrain@gmail.com,Search,,"Campaign asset changed
  Status changed from Enabled to Removed
  Extension type is Business name
  Item id is 43235607375
Campaign asset created
  Status is Enabled
  Extension type is Business name
  Item id is 16805041553"
"Dec 30, 2025, 1:19:06 PM",ponces.efrain@gmail.com,Search,5.11,"1 responsive search ad changed
  Description was ""Tienda oficial 5.11 México: Equipo táctico y outdoor de alta calidad para todos.""
  Headline changed from ""5.11 pagina oficial"" to ""5.11 pagina oficial""
  Headline changed from ""5.11 outdoor and adventure"" to ""5.11 outdoor and adventure""
  Headline changed from ""5.11 Tactical"" to ""5.11 Tactical""
  Headline changed from ""Tienda Oficial 5.11"" to ""Tienda Oficial 5.11""
  Description changed from ""Tienda 5.11 México: Descubre ropa, calzado, accesorios y más para tus actividades outdoor."" to ""Tienda 5.11 México: Descubre ropa, calzado, accesorios y más para tus actividades outdoor.""
  Headline changed from ""5.11 Oficial México"" to ""5.11 Oficial México""
  Headline changed from ""5.11 México"" to ""5.11 México""
  Description was ""Tienda 5.11 Online México: Envío gratis, rápido y seguro a cualquier punto del país.""
  Description was ""5.11 Original México: Compra productos 5.11 100% originales.""
  Headline changed from ""5.11 tactical series"" to ""5.11 tactical series""
  Headline changed from ""5.11 cerca de mi"" to ""5.11 cerca de mi""
  Headline changed from ""Marca 5.11"" to ""Marca 5.11""
  Description is ""5.11 la mejor marca de ropa táctica, accesorios y complementos.""
  Headline is ""5.11 Original México""
  Headline is ""Productos 5.11 En Descuento""
  Headline is ""5.11 Tactical México""
  Description is ""5.11 México | Distribuidor Autorizado: Ropa, Accesorios y Protección Balística""
  Description is ""Compra ropa táctica, mochilas y accesorios 5.11 en Risktactical.mx""
  Final URL is ""https://www.risktactical.mx""
  Path 1 is ""511-tactical"""
"Dec 30, 2025, 1:06:40 PM",ponces.efrain@gmail.com,Search,5.11,"1 ad group target ROAS updated
  Target ROAS is 300%"
"Dec 30, 2025, 1:06:32 PM",ponces.efrain@gmail.com,Search,Risk,"1 ad group target ROAS updated
  Target ROAS is 800%"
"Dec 30, 2025, 12:58:58 PM",ponces.efrain@gmail.com,,,"Budget changed
  Budget status is removed
""Target Roas"" removed
  "
"Dec 30, 2025, 12:55:28 PM",ponces.efrain@gmail.com,PMAX Tiendas,,"1 language added
  English"
"Dec 30, 2025, 12:54:00 PM",ponces.efrain@gmail.com,PMAX Tiendas,,"1 country added
  Mexico"
"Dec 30, 2025, 12:52:37 PM",ponces.efrain@gmail.com,Ubicaciones,CDMX,"Ad group changed
  Ad group name changed from ""Mexico"" to ""CDMX"""
"Dec 30, 2025, 12:40:12 PM",ponces.efrain@gmail.com,PMAX Tiendas,,"Campaign asset created
  Status is Enabled
  Extension type is Business name
  Item id is 297954584943
Campaign asset created
  Status is Enabled
  Extension type is Logo
  Item id is 251717725597
Campaign asset created
  Status is Enabled
  Extension type is Landscape Logo
  Item id is 297835570373
Business Data Feed Risk is added
  Status is Enabled
Budget set to ""PMAX Tiendas""
  
Campaign created
  Bid strategy type is ""Maximize conversions""
  Location options (advanced): Exclude is ""people in or regularly in your targeted locations""
  Location options (advanced): Targeting is ""people in, searching for, or viewing pages about my targeted location""
  Contains EU political advertising is false
  Final URL expansion is On: Send traffic to the most relevant URLs on your site
  Marketing objective is Local store visits
  End time is ""No end date""
  Start time is Dec 30, 2025, 12:40:10 PM CST
  Status is active
  Brand guidelines support is enabled
  Not targeting ""Google TV Network""
  Ad rotation is ""Optimize: Prefer best performing ads""
  Opted into ""Google Search Network""
  Opted into ""Display Network""
  Campaign ""PMAX Tiendas"" created
  Conversion action set is ""(547858702)0|21/2,23/2,26/5""
  Campaign dynamic asset settings: Generate image extraction is Opted in
  Campaign dynamic asset settings: Final URL expansion text asset automation is Opted in
Standard goals changed
  Get directions (Google hosted) added
  Contacts (Google hosted) added
  Store visits (Store) added
Account-default goals not used
  
1 language added
  Spanish
4 platforms added
  Desktop
  Mobile Highend
  Tablet
  Connected TV
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319844434108
44 assets in asset group ""Sucursales"" created
  Field type is Long headline
  Asset ID is 319760002091
44 assets in asset group ""Sucursales"" created
  Field type is Square marketing image
  Asset ID is 319760015333
44 assets in asset group ""Sucursales"" created
  Field type is Long headline
  Asset ID is 319760002097
44 assets in asset group ""Sucursales"" created
  Field type is Square marketing image
  Asset ID is 319885417077
44 assets in asset group ""Sucursales"" created
  Field type is Portrait marketing image
  Asset ID is 319885412199
44 assets in asset group ""Sucursales"" created
  Field type is Portrait marketing image
  Asset ID is 319885412202
44 assets in asset group ""Sucursales"" created
  Field type is Portrait marketing image
  Asset ID is 319886277270
44 assets in asset group ""Sucursales"" created
  Field type is Landscape marketing image
  Asset ID is 319886282337
44 assets in asset group ""Sucursales"" created
  Field type is Square marketing image
  Asset ID is 319886277135
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319760002079
44 assets in asset group ""Sucursales"" created
  Field type is Landscape marketing image
  Asset ID is 319760015525
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 138109500718
44 assets in asset group ""Sucursales"" created
  Field type is Landscape marketing image
  Asset ID is 319886282364
44 assets in asset group ""Sucursales"" created
  Field type is Landscape marketing image
  Asset ID is 319885412142
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319844434126
44 assets in asset group ""Sucursales"" created
  Field type is Portrait marketing image
  Asset ID is 319885409802
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319844434129
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319844033593
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319886032497
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319844434120
44 assets in asset group ""Sucursales"" created
  Field type is Square marketing image
  Asset ID is 319843303045
44 assets in asset group ""Sucursales"" created
  Field type is Portrait marketing image
  Asset ID is 319886270835
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319760002082
44 assets in asset group ""Sucursales"" created
  Field type is Description
  Asset ID is 319844434138
44 assets in asset group ""Sucursales"" created
  Field type is Description
  Asset ID is 319844434132
44 assets in asset group ""Sucursales"" created
  Field type is Description
  Asset ID is 319844434135
Asset group created
  Asset group name is Sucursales
  Status is enabled
  Landing page set to ""https://risktactical.mx/pages/tiendas-risk-top-tactical""
44 assets in asset group ""Sucursales"" created
  Field type is Long headline
  Asset ID is 319760002094
44 assets in asset group ""Sucursales"" created
  Field type is Landscape marketing image
  Asset ID is 319885412187
1 asset group hint(s) added
  Parameters is ""334711538""
  Type is ""Audience persona""
  Criterion ID is 2457511928110
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319844434123
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319844434111
44 assets in asset group ""Sucursales"" created
  Field type is Youtube video
  Asset ID is 251744163547
44 assets in asset group ""Sucursales"" created
  Field type is Description
6 asset group hint(s) added
  Parameters is ""5.11 chetumal""
  Type is ""Search theme""
  Criterion ID is 2457713000079
  Parameters is ""5.11 mexico""
  Type is ""Search theme""
  Criterion ID is 2204619694450
  Parameters is ""5.11 monterrey""
  Type is ""Search theme""
  Criterion ID is 2260117602455
  Parameters is ""5.11 veracruz""
  Type is ""Search theme""
  Criterion ID is 2457713000119
  Parameters is ""5.11 cdmx""
  Type is ""Search theme""
  Criterion ID is 2457712999879
  Parameters is ""5.11 merida""
  Type is ""Search theme""
  Criterion ID is 2457712999919
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319844434117
44 assets in asset group ""Sucursales"" created
  Field type is Landscape marketing image
  Asset ID is 319885412616
44 assets in asset group ""Sucursales"" created
  Field type is Youtube video
  Asset ID is 138106295471
44 assets in asset group ""Sucursales"" created
  Field type is Square marketing image
  Asset ID is 319885407603
44 assets in asset group ""Sucursales"" created
  Field type is Landscape marketing image
  Asset ID is 319843325260
44 assets in asset group ""Sucursales"" created
  Field type is Square marketing image
  Asset ID is 319844262067
44 assets in asset group ""Sucursales"" created
  Field type is Square marketing image
  Asset ID is 316002306080
44 assets in asset group ""Sucursales"" created
  Field type is Long headline
  Asset ID is 319760002085
44 assets in asset group ""Sucursales"" created
  Field type is Long headline
  Asset ID is 319760002088
44 assets in asset group ""Sucursales"" created
  Field type is Description
  Asset ID is 319844434141
44 assets in asset group ""Sucursales"" created
  Field type is Square marketing image
  Asset ID is 319843303042
44 assets in asset group ""Sucursales"" created
  Field type is Headline
  Asset ID is 319844434114"
"Dec 30, 2025, 12:31:23 PM",ponces.efrain@gmail.com,,,"Budget changed
  Budget status changed from active to removed
Budget created
  Budget delivery method set to ""standard: show ads evenly over time""
  End date is ""No end date""
  Budget status is active
  Unit type is Currency
  PMAX Tiendas: Budget amount is MX$120.00
